claim_id,company_id,policy_id,claim_ammount,approved_ammount,status,made_claim,eligiability
1,1,5,2843811,8026549,approved,false,false
2,2,7,6420641,6561142,approved,true,false
3,3,6,8298771,4035091,rejected,false,false
4,4,8,599831,9389043,rejected,true,false
5,5,6,8045981,2625824,approved,false,false
6,6,8,6784376,8892686,rejected,false,true
7,7,5,2529771,953007,approved,true,true
8,8,7,8424867,5033109,rejected,true,false
9,9,2,9347191,4709548,rejected,true,true
10,10,2,3152983,4046705,rejected,true,true
11,11,5,2607341,2045589,rejected,true,true
12,12,8,4006511,5589559,rejected,false,false
13,13,7,2136934,5943034,approved,true,true
14,14,1,4654544,6388921,rejected,false,false
15,15,1,1866060,5095065,approved,false,false
16,16,5,2921510,4739458,rejected,true,true
17,17,4,5692567,9847163,rejected,false,false
18,18,2,1918591,6481308,approved,false,false
19,19,9,2346775,5807574,rejected,false,false
20,20,2,5329815,6563447,rejected,true,false
21,21,7,4378246,2024644,rejected,true,false
22,22,10,5695778,5610860,rejected,true,false
23,23,8,2950105,3237623,rejected,true,false
24,24,9,1773823,529084,approved,true,false
25,25,4,6488596,7911642,rejected,false,false
26,26,2,7975820,5887855,rejected,true,true
27,27,1,185668,3174690,approved,false,true
28,28,5,6476250,8037976,approved,true,false
29,29,2,4671971,9369244,approved,true,true
30,30,8,160512,6068685,approved,true,false
31,31,4,8309671,1991819,rejected,false,false
32,32,3,5273884,3280153,rejected,true,false
33,33,7,6140356,2114182,rejected,true,true
34,34,9,9527090,4218957,rejected,false,false
35,35,8,7161831,8069584,rejected,false,false
36,36,5,4532801,8435239,approved,true,false
37,37,8,749619,6238585,approved,true,true
38,38,9,8135751,6604061,approved,true,false
39,39,6,8397032,5663062,rejected,true,false
40,40,6,9883473,200065,approved,false,true
41,41,8,6222852,7061472,rejected,false,true
42,42,4,1393070,4872835,rejected,false,false
43,43,4,404290,8378427,approved,false,false
44,44,4,7314765,3535138,approved,true,false
45,45,4,5553095,9083984,approved,true,false
46,46,7,7445214,1360512,rejected,false,true
47,47,9,5673363,2632068,rejected,false,false
48,48,6,6212013,988826,rejected,true,false
49,49,2,9587660,6831439,rejected,false,false
50,50,8,3444225,9202905,rejected,true,false
51,51,10,3642238,9712052,approved,false,true
52,52,9,386160,694229,approved,false,false
53,53,2,1228148,5863171,approved,false,false
54,54,6,4284461,6315778,rejected,false,true
55,55,2,2064992,112766,rejected,false,false
56,56,5,1423645,828098,approved,false,true
57,57,3,4826430,9429872,rejected,false,false
58,58,2,1679512,4600948,approved,false,true
59,59,1,8431720,718849,approved,true,true
60,60,9,7212383,1105595,rejected,false,true
61,61,6,665708,9209752,rejected,true,false
62,62,6,8573571,4461797,rejected,true,true
63,63,9,4840864,8135081,approved,false,true
64,64,7,4585348,6588239,rejected,true,false
65,65,10,7677636,7212715,rejected,true,true
66,66,3,9756523,9624062,approved,false,true
67,67,6,248186,8375801,rejected,true,true
68,68,3,8971423,6720845,rejected,true,false
69,69,2,5281511,5614054,rejected,true,false
70,70,6,351156,9044430,approved,true,true
71,71,8,8085659,2208520,rejected,false,true
72,72,4,2929958,798718,rejected,true,true
73,73,8,2332645,7561576,rejected,true,true
74,74,2,8514443,3130293,rejected,true,true
75,75,9,1588013,4275553,rejected,true,true
76,76,6,252062,5872614,approved,false,true
77,77,7,8278534,7317577,rejected,true,true
78,78,9,4021672,8288063,approved,false,true
79,79,6,9535844,4894521,rejected,false,true
80,80,6,8960751,216227,rejected,false,false
81,81,1,6310110,9131940,rejected,true,true
82,82,7,1058786,8876351,approved,false,true
83,83,10,4077153,5402199,rejected,false,true
84,84,2,9949231,4089777,approved,true,true
85,85,8,4051534,2662089,approved,true,true
86,86,8,3998916,9610056,approved,true,false
87,87,8,978175,327723,approved,false,true
88,88,2,4422038,2713208,approved,true,false
89,89,5,2791798,2408164,rejected,false,true
90,90,6,9173722,4305480,rejected,true,false
91,91,5,2466904,3296938,approved,true,true
92,92,8,2820721,9776995,rejected,true,false
93,93,3,6172104,293388,approved,false,false
94,94,6,6854834,4203879,rejected,false,false
95,95,4,7641441,6072409,rejected,false,false
96,96,3,4616686,1234800,approved,true,true
97,97,1,9439875,6204684,rejected,true,false
98,98,3,7995594,3352616,rejected,false,true
99,99,9,3659632,6342368,approved,true,true
100,100,1,2184545,1513016,approved,false,false
101,101,4,7232149,4224438,approved,false,true
102,102,1,862283,7666507,approved,false,true
103,103,8,6961156,8996412,approved,false,false
104,104,1,3334774,9040446,approved,true,false
105,105,1,2675025,2351901,approved,false,true
106,106,2,7956083,2517941,rejected,false,true
107,107,3,7085703,8055126,approved,true,true
108,108,10,3056377,1006701,rejected,true,true
109,109,3,5526897,7566168,approved,true,false
110,110,10,3282266,797301,approved,true,true
111,111,6,3918318,9100441,rejected,true,true
112,112,7,6713662,3959353,rejected,true,true
113,113,7,3533847,9300057,rejected,true,true
114,114,7,5943529,7663494,rejected,false,true
115,115,9,957752,400549,approved,false,false
116,116,5,3134700,4750787,approved,false,true
117,117,1,5563040,7757526,rejected,false,true
118,118,5,7479382,172836,approved,true,true
119,119,6,8156393,703702,rejected,true,true
120,120,5,7160187,9061719,approved,true,false
121,121,4,1988216,5854005,approved,true,true
122,122,3,7596176,7578306,rejected,false,true
123,123,6,4914518,8485727,approved,false,true
124,124,3,4748342,9890997,approved,false,false
125,125,2,1907781,9995607,approved,true,true
126,126,2,8561586,9948908,approved,false,false
127,127,5,7752243,2712778,rejected,true,false
128,128,1,2628904,2196043,rejected,true,false
129,129,2,4282156,629806,rejected,false,true
130,130,10,8730849,3836044,rejected,true,false
131,131,4,290991,3193252,rejected,false,false
132,132,5,4280433,2099794,approved,false,true
133,133,6,1280204,8966696,approved,false,false
134,134,4,4913863,6715826,rejected,false,false
135,135,1,2613758,2416841,approved,true,true
136,136,10,2453546,9090196,rejected,false,true
137,137,2,8897585,7407707,approved,false,false
138,138,10,5617040,6412053,approved,true,false
139,139,5,4000662,8778998,approved,true,false
140,140,4,1348530,9399567,rejected,true,false
141,141,2,2007639,3040445,rejected,true,false
142,142,3,9014748,6901382,approved,false,true
143,143,2,1661406,1858771,approved,true,false
144,144,5,3573472,2540289,approved,true,false
145,145,5,1141384,9794138,rejected,false,true
146,146,2,1852371,1905821,approved,true,false
147,147,6,8508606,7263779,approved,true,true
148,148,7,3582182,2707193,approved,true,true
149,149,2,2284456,165349,rejected,true,true
150,150,9,7805123,1789565,rejected,true,false
151,151,4,6615457,7881688,rejected,false,true
152,152,6,6630526,3279751,rejected,true,false
153,153,5,7168532,6221432,rejected,false,false
154,154,8,271658,9015154,rejected,true,false
155,155,8,6760766,6049597,approved,false,false
156,156,10,8118298,9024262,approved,false,false
157,157,4,869603,4313235,rejected,true,true
158,158,2,6697949,3070139,approved,true,false
159,159,4,686419,1920004,rejected,false,false
160,160,5,2280610,6230511,rejected,true,false
161,161,4,5662331,9045721,rejected,false,false
162,162,2,7040174,9993619,rejected,true,false
163,163,2,7888647,9381257,rejected,false,false
164,164,2,9862377,2789908,rejected,false,true
165,165,7,815853,9301813,approved,false,false
166,166,9,5494918,7404575,approved,true,true
167,167,10,1598057,6446907,approved,true,false
168,168,10,1837373,6225638,approved,true,false
169,169,8,1159085,2501197,approved,false,false
170,170,2,853994,8242073,approved,false,true
171,171,9,8926790,464469,rejected,true,true
172,172,3,9224225,9449859,approved,true,true
173,173,8,7201818,1572406,approved,true,false
174,174,9,5913942,1063123,approved,true,false
175,175,5,2457686,169528,approved,false,false
176,176,6,8225238,3489151,rejected,true,false
177,177,4,3341141,9608450,approved,true,true
178,178,10,6271760,285103,rejected,false,false
179,179,5,5672045,9002624,rejected,false,false
180,180,6,2238498,1358822,approved,false,false
181,181,2,5706798,2448900,rejected,true,true
182,182,3,5359175,6418883,approved,false,true
183,183,4,3177205,3303966,approved,true,false
184,184,10,7068673,7116072,approved,false,true
185,185,6,8039026,6201629,approved,false,false
186,186,9,4050059,263869,rejected,true,true
187,187,10,3983899,8196852,approved,false,false
188,188,8,2218026,7166776,rejected,true,false
189,189,5,5945339,390934,rejected,false,false
190,190,10,3700698,5328556,rejected,true,true
191,191,7,233479,213531,approved,true,false
192,192,10,159811,2353020,approved,true,false
193,193,5,6123992,4978323,approved,false,false
194,194,2,4070746,534676,rejected,false,false
195,195,1,4994277,9997416,rejected,true,false
